what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268686365634
started,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1268686365743
started,bundle,org.eclipse.jst.jsf.ui,1.2.1.v20090827,"org.eclipse.jst.jsf.ui",1268686366071
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1268686366328
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1268686367482
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268686394266
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268686429230
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1268686429281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268686431670
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268686503324
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1268686503823
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1268686504072
started,bundle,org.maven.ide.eclipse.jdt,0.9.8.200905041413,"org.maven.ide.eclipse.jdt",1268686504463
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268686504807
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268687145315
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268687600979
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268690915557
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691177505
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691177513
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691177636
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691207905
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1268691232325
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1268691261878
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691386995
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691387004
