what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691389404
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691389859
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1268691679809
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9,"org.tigris.subversion.clientadapter.javahl",1268691679846
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.6,"org.tigris.subversion.clientadapter.svnkit",1268691679853
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691747318
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691747327
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691747459
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268691987204
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268692022160
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268692022168
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268692045527
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268692045936
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268692132223
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268692132235
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268692132350
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268692134970
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268692136749
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268764198354
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268764204587
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268768881519
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268768901375
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.exit",1268768921319
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1268768929030
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1268768929280
