what,kind,bundleId,bundleVersion,description,time
started,bundle,org.maven.ide.eclipse.refactoring,0.9.8.200905041414,"org.maven.ide.eclipse.refactoring",1269502442627
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1269502447058
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1269502447226
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1269502450576
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1269502510948
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269502521645
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269502521997
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1269502534105
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269502541436
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269502589523
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1269502592503
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1269502592803
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269502592934
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1269502594423
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1269502597921
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269502695603
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1269502748011
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269502754558
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269502755001
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1269502830931
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269502835292
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9,"org.tigris.subversion.clientadapter.javahl",1269502835392
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.6,"org.tigris.subversion.clientadapter.svnkit",1269502836716
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269502837985
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269503038252
